0;0;1.0;2518,565,702,2886,2908,3093,3145,1545,3616,3724
1;0;0.010530044181053425;2305,546,1448
2;0;0.022543127792947204;1944,590
3;0;0.004078382834643346;2862,191
4;0;0.24277912642949484;3650,69,3405
5;0;0.08627659750422145;1922,2380,999,109
6;0;0.017167553750201736;1408,3782,3426
7;0;-5.946188473160419e-06;1595
8;0;0.007006756549561288;3341,2863,3540,2711
9;0;-4.566666170213729e-06;1723
10;0;0.14271568069308327;2641,1621,2148,2787,2831,1820,1833,3494,3516,2551
11;4;0.00993271204129531;2562,3128
12;10;0.008885412046989227;2786,2794,3084,2586
13;10;0.01516667702377772;2983,3559,2617,3514,2781
14;10;0.1675617425758389;3106,39,3126,3675,3749,2283,2854,3406
15;4;8.010504630462378e-05;3397,3209
16;4;0.0010632357789219782;3620,2703,3605,1911,345
17;4;0.0008107664338543596;145,562
18;10;0.07756661526891928;2744,2753,1795,3333,2440
19;2;-1.8034724195814533e-05;251
20;2;-1.095387590865915e-05;2404,2774,2680
21;14;-4.147419987854395e-05;2499
22;18;0.00031336669499637537;673,2754
23;5;-2.1862869310718125e-05;318
24;14;-5.285873292548704e-05;791
25;18;-0.00012565128720121166;2296
26;18;-7.959459091899657e-05;1337
27;14;0.009513232544586137;1921,3630,2769,3228,511
28;18;-2.531517482384782e-05;111
29;18;0.001986235581799889;612,660,2572
30;4;0.0010752416485290128;3336,620,1841,2911
31;20;-1.2493413647507445e-05;3738,3507
32;14;0.008732076774076614;834,1250,2635,719,3767,3357,2654
33;5;-8.462565237776776e-05;3386
34;18;0.011009943724294202;2646,3698,2681,3748,1214,3786,1748,2907,3429,1899,3462,2962,1970,2008,478
35;10;-3.410868666786637e-05;1675
36;0;2.611565181942499e-05;6,2822,2971
37;6;-7.122976823759064e-05;1989,3754,3090
38;0;-4.387911070524719e-05;347
39;2;-1.8854374888355174e-05;2493
40;14;-0.00012846694044421625;90
41;14;-0.00010382253106222539;488
42;34;0.01216229769095889;2502,712,2921,1291,2000,368,3734
43;10;-7.33922965479028e-06;2860,2813
44;14;0.0067588592154441685;3776,2081,197,390,103,1386,945,154
45;5;-0.00016154946614566068;889,93
46;11;4.98683821953394e-05;332
47;5;-1.9046399611588605e-05;3586,3550,1070
48;10;-0.00012664818578744796;1182
49;20;-2.4656438846304418e-05;37,140,2820
50;10;-0.00011558737004369046;1959
51;5;-0.0018416063567537888;3214,274,935,2218,1585,62
52;10;0.00491166797666065;2048,1541,2918,3082,2815,156
53;34;-0.00011017126277634848;1796
54;30;-7.878387298065892e-05;997
55;34;-0.00011487435836277093;501
56;4;-0.00011991642041231376;2480
57;0;-0.00022451948597568272;2069
58;0;8.193430876468621e-05;2149
59;1;-6.126763723768303e-05;3716,1522
60;34;0.008116618614466331;67,581,3689,526,3485,2398
61;34;0.008423917946598913;3136,1537,2348,1581,653,886,1463,3002
62;16;-3.831321280400868e-05;3726,3062
63;51;2.282996891644906e-06;3570,1778,666,255
64;30;-5.293585260746081e-05;1033
65;0;-0.00023456340991345748;160
66;14;-0.00020854110794521485;228,336,3283,3769,3519
67;34;0.002338649654097469;2052,2373,2541,2958,397,3761
68;10;-0.00014187525788100785;2356,1654,414
69;11;-0.00011104520544003016;2312
70;4;-0.00014877713939487336;496
71;2;-5.596445522870752e-05;2147,2179
72;4;-0.00038368099735408556;296,946,2460
73;32;-0.00012080880717957321;1813
74;10;-0.0002089999118469743;1300
75;10;-0.000183690426394989;1536
76;0;-0.0002527498897134661;1757
77;0;-0.0009379804281802739;815,3579,1789
78;51;-0.00026820270030647464;1016,2184
79;11;-0.00024012999510947264;3456,224,138,3567,848,2616,2270,2751
80;14;-0.0001446275739633851;704
81;5;-9.222836195788009e-05;784
82;30;-0.0006971538701757707;1602,2083,3529,2443,505
83;51;-0.00013382010926110688;428
84;10;-0.0003336967647792344;3302
85;15;-3.5869626777595975e-05;3016
86;6;-0.00041498512069171323;495
87;2;-9.474178357371521e-05;232
88;44;-0.0001622042812137181;2141
89;46;-4.472746557060425e-05;2150,2929,373
90;10;-0.00034256564481394136;597,3117
91;5;-0.0007535248556034269;32,591,1424
92;14;-0.0003915744745927041;522
93;52;-0.00013293788370771775;2757
94;27;-0.0004776726135339304;3744,2826,3308,1682
95;34;-0.00020876256539448246;173
96;10;-0.00030615643117537505;3534
97;14;-0.00021287087927834847;1644
98;10;-0.00039468851567237007;3081
99;34;-0.0003855140363365761;1319
100;52;-0.0003052052423180296;1401
101;4;-9.611088135363932e-05;2818,2277,3752,1878,2906
102;51;-0.0005731646440543248;1140
103;0;-0.0004725480131898552;98,1676
104;2;-7.169205078660923e-05;3331
105;16;-0.00011817586099471811;1396
106;17;-0.0001361451664959601;786
107;20;-0.00030788280871063556;198
108;51;-0.0025796007115209685;2185,2570,2954,1969,2905
109;10;-0.0020409969288209817;2086,1289,2321,509,990
110;72;-0.00026690938156626043;1680
111;15;-7.228852524299167e-05;2552
112;13;-0.00020206772952302554;3268,2733
113;77;-0.0003933140273115754;3781,3142,2839
114;101;-0.00033109649017182274;3250
115;32;-0.0006122111826493137;3381
116;59;-0.00012271268845154282;265
117;37;-0.00032293365772273486;1938
118;14;-0.0006700513927678786;858
119;5;-0.0008912028490429824;2992,418,2198
120;94;-0.00019416334575383942;836
121;10;-0.0012925819101480274;3107,2280,3056,2073,766
122;79;-0.00038089751681691375;1690
123;18;-0.00019697595710410631;500
124;60;2.0052535201986466e-05;1866,1756,2390,1822
125;34;-0.0008409730529733705;1733
126;42;-0.0003605831239444912;2355,339
127;30;-0.0010014952146324418;2087,1194,3562
128;32;-0.001710321935627812;48,1145,1180,1709
129;67;-0.0005997231736692976;121
130;14;-0.004789273333421162;770,2982,555,3022,2607,3504
131;68;-0.00012826335912707876;3293
132;89;-0.00015541759568038493;2647
133;12;-0.00028586899403382215;1532
134;52;-0.0005692610087318917;2281
135;17;-0.00016584779659201132;1855
136;1;-8.400559016208398e-05;2726
137;34;-0.001476744988425871;1024,95
138;67;-0.0018480852456813635;3041,2978,3617,3528
139;0;-0.0013319918810303921;958
140;61;-0.00043543842271254185;2523,3573
